player_id,session,elo
5,S1D1,1016
5,S1D2,1032
5,S1D3,1032
5,S1D4,1044.8
5,S1D5,1054.4
5,S1D6,1048
5,S1D7,1073.6
5,S1D8,1131.2
5,S1D9,1179.2
5,S1D10,1185.6
5,S1D11,1214.4
5,S2D1,1217.6
5,S2D2,1185.6
5,S2D3,1140.8
5,S2D4,1128
5,S2D5,1080
5,S2D6,1092.8
5,S2D7,1057.6
5,S2D8,1118.4
5,S2D9,1118.4
5,S2D10,1124.8
5,S2D11,1166.4
5,S2D12,1166.4
5,S3D1,1140.8
5,S3D2,1179.2
5,S3D3,1176
5,S3D4,1118.4
5,S3D5,1134.4
5,S3D6,1099.2
5,S3D7,1121.6
5,S3D8,1073.6
5,S3D9,1102.4
5,S3D10,1089.6
5,S3D11,1067.2
5,S3D12,1057.6
5,S4D1,1067.2
5,S4D2,1067.2
5,S4D3,1057.6
5,S4D4,1051.2
5,S4D5,1028.8
5,S4D6,1060.8
5,S4D7,1054.4
5,S4D8,1035.2
5,S4D9,1051.2
5,S4D10,1083.2
5,S4D11,1044.8
2,S1D1,1048
2,S1D2,1057.6
2,S1D3,1080
2,S1D4,1118.4
2,S1D5,1118.4
2,S1D6,1086.4
2,S1D7,1073.6
2,S1D8,1099.2
2,S1D9,1054.4
2,S1D10,1051.2
2,S1D11,1064
2,S2D1,1060.8
2,S2D2,1086.4
2,S2D3,1121.6
2,S2D4,1112
2,S2D5,1096
2,S2D6,1121.6
2,S2D7,1160
2,S2D8,1201.6
2,S2D9,1230.4
2,S2D10,1192
2,S2D11,1160
2,S2D12,1150.4
2,S3D1,1150.4
2,S3D2,1156.8
2,S3D3,1188.8
2,S3D4,1224
2,S3D5,1224
2,S3D6,1224
2,S3D7,1192
2,S3D8,1227.2
2,S3D9,1198.4
2,S3D10,1201.6
2,S3D11,1198.4
2,S3D12,1166.4
2,S4D1,1204.8
2,S4D2,1208
2,S4D3,1240
2,S4D4,1236.8
2,S4D5,1201.6
2,S4D6,1236.8
2,S4D7,1233.6
2,S4D8,1233.6
2,S4D9,1169.6
2,S4D10,1211.2
2,S4D11,1249.6
13,S1D1,1000
13,S1D2,1000
13,S1D3,1000
13,S1D4,1000
13,S1D5,1000
13,S1D6,1000
13,S1D7,1000
13,S1D8,1000
13,S1D9,1000
13,S1D10,1000
13,S1D11,1000
13,S2D1,1000
13,S2D2,1000
13,S2D3,1000
13,S2D4,1000
13,S2D5,1000
13,S2D6,1000
13,S2D7,1000
13,S2D8,1000
13,S2D9,1000
13,S2D10,1000
13,S2D11,1000
13,S2D12,1000
13,S3D1,1000
13,S3D2,1000
13,S3D3,1000
13,S3D4,1000
13,S3D5,1000
13,S3D6,1000
13,S3D7,1000
13,S3D8,1000
13,S3D9,1000
13,S3D10,1000
13,S3D11,1000
13,S3D12,1000
13,S4D1,1000
13,S4D2,974.4
13,S4D3,974.4
13,S4D4,974.4
13,S4D5,974.4
13,S4D6,974.4
13,S4D7,974.4
13,S4D8,974.4
13,S4D9,974.4
13,S4D10,974.4
13,S4D11,974.4
17,S1D1,1000
17,S1D2,1000
17,S1D3,1000
17,S1D4,1000
17,S1D5,1000
17,S1D6,1000
17,S1D7,1000
17,S1D8,1000
17,S1D9,1000
17,S1D10,1000
17,S1D11,1000
17,S2D1,1000
17,S2D2,1000
17,S2D3,1000
17,S2D4,1000
17,S2D5,1000
17,S2D6,1000
17,S2D7,1000
17,S2D8,1006.4
17,S2D9,971.2
17,S2D10,932.8
17,S2D11,945.6
17,S2D12,894.4
17,S3D1,894.4
17,S3D2,913.6
17,S3D3,913.6
17,S3D4,913.6
17,S3D5,913.6
17,S3D6,913.6
17,S3D7,904
17,S3D8,904
17,S3D9,904
17,S3D10,904
17,S3D11,904
17,S3D12,904
17,S4D1,904
17,S4D2,904
17,S4D3,904
17,S4D4,904
17,S4D5,904
17,S4D6,904
17,S4D7,904
17,S4D8,904
17,S4D9,904
17,S4D10,904
17,S4D11,904
1,S1D1,1016
1,S1D2,1016
1,S1D3,1060.8
1,S1D4,1060.8
1,S1D5,1060.8
1,S1D6,1060.8
1,S1D7,1060.8
1,S1D8,1060.8
1,S1D9,1060.8
1,S1D10,1060.8
1,S1D11,1060.8
1,S2D1,1060.8
1,S2D2,1060.8
1,S2D3,1060.8
1,S2D4,1060.8
1,S2D5,1060.8
1,S2D6,1060.8
1,S2D7,1060.8
1,S2D8,1060.8
1,S2D9,1060.8
1,S2D10,1060.8
1,S2D11,1060.8
1,S2D12,1060.8
1,S3D1,1060.8
1,S3D2,1060.8
1,S3D3,1060.8
1,S3D4,1060.8
1,S3D5,1060.8
1,S3D6,1060.8
1,S3D7,1060.8
1,S3D8,1060.8
1,S3D9,1060.8
1,S3D10,1060.8
1,S3D11,1060.8
1,S3D12,1060.8
1,S4D1,1019.2
1,S4D2,1054.4
1,S4D3,1048
1,S4D4,1048
1,S4D5,1048
1,S4D6,1076.8
1,S4D7,1076.8
1,S4D8,1086.4
1,S4D9,1108.8
1,S4D10,1108.8
1,S4D11,1108.8
19,S1D1,1000
19,S1D2,1000
19,S1D3,968
19,S1D4,990.4
19,S1D5,990.4
19,S1D6,990.4
19,S1D7,990.4
19,S1D8,990.4
19,S1D9,990.4
19,S1D10,990.4
19,S1D11,990.4
19,S2D1,990.4
19,S2D2,990.4
19,S2D3,990.4
19,S2D4,990.4
19,S2D5,990.4
19,S2D6,990.4
19,S2D7,990.4
19,S2D8,990.4
19,S2D9,990.4
19,S2D10,1012.8
19,S2D11,1012.8
19,S2D12,1012.8
19,S3D1,1012.8
19,S3D2,1012.8
19,S3D3,1012.8
19,S3D4,1012.8
19,S3D5,1012.8
19,S3D6,1012.8
19,S3D7,1012.8
19,S3D8,1016
19,S3D9,1016
19,S3D10,1016
19,S3D11,1016
19,S3D12,984
19,S4D1,984
19,S4D2,984
19,S4D3,1022.4
19,S4D4,1022.4
19,S4D5,1086.4
19,S4D6,1060.8
19,S4D7,1070.4
19,S4D8,1080
19,S4D9,1080
19,S4D10,1073.6
19,S4D11,1073.6
11,S1D1,1000
11,S1D2,984
11,S1D3,1003.2
11,S1D4,987.2
11,S1D5,942.4
11,S1D6,952
11,S1D7,964.8
11,S1D8,964.8
11,S1D9,945.6
11,S1D10,945.6
11,S1D11,945.6
11,S2D1,945.6
11,S2D2,945.6
11,S2D3,945.6
11,S2D4,945.6
11,S2D5,945.6
11,S2D6,942.4
11,S2D7,942.4
11,S2D8,942.4
11,S2D9,942.4
11,S2D10,942.4
11,S2D11,971.2
11,S2D12,971.2
11,S3D1,980.8
11,S3D2,984
11,S3D3,974.4
11,S3D4,968
11,S3D5,968
11,S3D6,961.6
11,S3D7,961.6
11,S3D8,990.4
11,S3D9,1000
11,S3D10,1035.2
11,S3D11,1083.2
11,S3D12,1083.2
11,S4D1,1022.4
11,S4D2,961.6
11,S4D3,923.2
11,S4D4,875.2
11,S4D5,900.8
11,S4D6,900.8
11,S4D7,891.2
11,S4D8,891.2
11,S4D9,916.8
11,S4D10,916.8
