"card_id","card_name","n_games","estimate","p_value"
"247939d9-87e9-4f01-b223-fb4cfa7dbbe1","247939d9-87e9-4f01-b223-fb4cfa7dbbe1",122,-0.226382484476533,0.299223555227538
"56995b84-2307-4955-9c7c-dc4f04acdc07","56995b84-2307-4955-9c7c-dc4f04acdc07",149,0.206389518498217,0.341007802670444
"95c14c4d-6c16-4826-8d93-d89ad04aee09","95c14c4d-6c16-4826-8d93-d89ad04aee09",103,0.31120705227875,0.216129321068171
"05bdd22c-3e11-4c29-bdfa-d3dfc0e90a9f","05bdd22c-3e11-4c29-bdfa-d3dfc0e90a9f",109,-0.137763359745803,0.556931285482126
"493a5ca7-5f90-4af4-b6db-43ae09a2f2c9","493a5ca7-5f90-4af4-b6db-43ae09a2f2c9",113,-0.0527115544598132,0.827517617455319
"4c732dc7-dd6b-4cc1-bbe0-ff3b1d2c7419","4c732dc7-dd6b-4cc1-bbe0-ff3b1d2c7419",131,0.248291763627995,0.297715207730904
"e6befbc4-1320-4f26-bd9f-b1814fedda10","e6befbc4-1320-4f26-bd9f-b1814fedda10",129,-0.263646828955266,0.250310999443333
"04fc99dc-bfbe-4567-b791-6b1db96471ec","04fc99dc-bfbe-4567-b791-6b1db96471ec",126,-0.156539117159511,0.490033330442332
"fa6ac7d2-0127-49a8-b7d2-a38308d3c27b","fa6ac7d2-0127-49a8-b7d2-a38308d3c27b",46,-0.220841061227279,0.537874574955046
"492b368b-de32-45c1-8459-238aae54f9fc","492b368b-de32-45c1-8459-238aae54f9fc",64,0.139000041967949,0.658107341009887
"3003d481-1b52-4aa9-bbdc-e948fbc8d49d","3003d481-1b52-4aa9-bbdc-e948fbc8d49d",86,0.418556887516951,0.163599001004236
"a3b1b58d-b7f1-404f-aec6-b19cef4bebbd","a3b1b58d-b7f1-404f-aec6-b19cef4bebbd",28,-0.296502702379243,0.537462679972184
"0ce44270-a684-4489-9077-521456e6dfaa","0ce44270-a684-4489-9077-521456e6dfaa",123,-0.159840962787144,0.473892629574252
"1a55c370-d396-4c73-8ee2-83dc4c124005","1a55c370-d396-4c73-8ee2-83dc4c124005",53,-0.557420576735447,0.185765100382068
"2a717b98-cdac-416d-bf6c-f6b6638e65d1","2a717b98-cdac-416d-bf6c-f6b6638e65d1",130,0.207377697196691,0.324845356908028
"0e606072-a3aa-4300-ba90-ec92a721fa76","0e606072-a3aa-4300-ba90-ec92a721fa76",79,-0.0492630793241441,0.8548360790491
"1132218d-56cd-441e-9006-df3c50344491","1132218d-56cd-441e-9006-df3c50344491",107,-0.0183529690433084,0.942499176189687
"69af2825-18c2-4463-b6ba-42eaa070ccc1","69af2825-18c2-4463-b6ba-42eaa070ccc1",79,-0.205149175830696,0.485930096227609
"d40b65c1-b24d-492d-81b9-d8474ebdc08c","d40b65c1-b24d-492d-81b9-d8474ebdc08c",119,-0.174291371358111,0.476426332814222
"94b67489-5eb0-4406-9bf3-27e50dc632eb","94b67489-5eb0-4406-9bf3-27e50dc632eb",55,0.445347549465193,0.218495789772156
"68924203-c3d9-41ce-8ca8-c6dd491eb3ca","68924203-c3d9-41ce-8ca8-c6dd491eb3ca",131,0.316250705790648,0.160030809307822
"4df8aabc-7fcb-4b7b-980b-18f499e6c170","4df8aabc-7fcb-4b7b-980b-18f499e6c170",118,-0.0630303926505103,0.778648252682652
"139b90cd-8272-457a-be32-1298145345be","139b90cd-8272-457a-be32-1298145345be",113,-0.210474318913657,0.371895184448032
"327cf118-cc92-4073-85d0-94d2a0a6989a","327cf118-cc92-4073-85d0-94d2a0a6989a",133,-0.149702458788725,0.492608684635294
"5f6927e1-c580-483a-8e2a-6e2deb74800e","5f6927e1-c580-483a-8e2a-6e2deb74800e",130,0.247702230546942,0.252792939660475
"30377bf0-d9b1-4c14-8dde-f74b1e02d604","30377bf0-d9b1-4c14-8dde-f74b1e02d604",143,-0.0741760634300903,0.740016529756784
"345fd005-5052-4500-a260-3649500e21f4","345fd005-5052-4500-a260-3649500e21f4",18,-0.0786857469246916,0.891941733873211
"52d3005f-a1c7-4ef5-911f-ccc0752f4181","52d3005f-a1c7-4ef5-911f-ccc0752f4181",124,0.101700924684443,0.648865245785237
"8c2996d9-3287-4480-8c04-7a378e37e3cf","8c2996d9-3287-4480-8c04-7a378e37e3cf",122,0.232710319496544,0.287737791292192
"ee8e9928-d9b2-4570-adb8-44b34115decd","ee8e9928-d9b2-4570-adb8-44b34115decd",103,0.174323893361221,0.495832234165559
"eeeffc0b-dc92-458e-ad58-86ff6077a508","eeeffc0b-dc92-458e-ad58-86ff6077a508",81,0.536998420773671,0.0616093048340257
"400382a4-aea2-4827-b06a-1b0b3745908b","400382a4-aea2-4827-b06a-1b0b3745908b",151,-0.466953373544344,0.0666348312138881
"c2089ec9-0665-448f-bfe9-d181de127814","c2089ec9-0665-448f-bfe9-d181de127814",125,0.299627218890824,0.199540914109218
"1ea179e9-9c0d-46c1-9ee8-60be68e1f79c","1ea179e9-9c0d-46c1-9ee8-60be68e1f79c",54,0.222768972859993,0.517890123158841
"ff84ea71-e477-44f7-a3f8-77fef708efeb","ff84ea71-e477-44f7-a3f8-77fef708efeb",110,-0.166884230913135,0.490613610587207
"985453e7-997e-4d77-a338-cc0290791ebe","985453e7-997e-4d77-a338-cc0290791ebe",60,0.00293948176568066,0.993141786797399
"e41cf82d-3213-47ce-a015-6e51a8b07e4f","e41cf82d-3213-47ce-a015-6e51a8b07e4f",126,0.146868304416993,0.575556299006692
"a9225cc3-90f0-448f-a8d9-7c6c2796d077","a9225cc3-90f0-448f-a8d9-7c6c2796d077",99,0.227431388718596,0.361024740076771
"1785cb18-c291-4fd5-b8c7-ace893c32e49","1785cb18-c291-4fd5-b8c7-ace893c32e49",109,-0.352918269032486,0.155245034848034
"5ad36fb2-c44e-4085-ba0d-54277841ad3a","5ad36fb2-c44e-4085-ba0d-54277841ad3a",84,0.29946869491307,0.371539266567479
"551c0a45-9515-4e51-84e5-79703832a661","551c0a45-9515-4e51-84e5-79703832a661",86,0.194872673895674,0.510016513523412
"045ce37b-86d2-4e56-84af-b6625b53d13c","045ce37b-86d2-4e56-84af-b6625b53d13c",143,0.16362689947147,0.479465440554998
