group_id,group_name,n_games_with_group,v0_coef,v0_se,v0_z,v0_p,v0_or,v0_or_lower,v0_or_upper,v0_aic,v0_separation,v0_win_rate_lift_prob,v0_win_rate_lift_mean_prob,v1_coef,v1_se,v1_z,v1_p,v1_or,v1_or_lower,v1_or_upper,v1_aic,v1_separation,v1_win_rate_lift_prob,v1_win_rate_lift_mean_prob,v2_coef,v2_se,v2_z,v2_p,v2_or,v2_or_lower,v2_or_upper,v2_aic,v2_separation,v2_win_rate_lift_prob,v2_win_rate_lift_mean_prob,v0_p_adj,v0_significant_raw,v0_significant_fdr,v1_p_adj,v1_significant_raw,v1_significant_fdr,v2_p_adj,v2_significant_raw,v2_significant_fdr,v0_win_rate_lift_pct,v0_win_rate_lift_mean_pct,v0_win_rate_lift_std,v0_win_rate_lift_mean_std,v1_win_rate_lift_pct,v1_win_rate_lift_mean_pct,v1_win_rate_lift_std,v1_win_rate_lift_mean_std,v2_win_rate_lift_pct,v2_win_rate_lift_mean_pct,v2_win_rate_lift_std,v2_win_rate_lift_mean_std,or_range,or_mean,or_cv
fast_mana,Fast Mana,1387,0.23900432194552357,0.08707987805508455,2.7446561396690914,0.006057433098787177,1.2699840253737489,1.0707161899366981,1.506337010557265,3101.1118530833523,False,0.05433912245440346,0.059674472364300846,0.22790900767454317,0.0877830286578308,2.5962764233495403,0.009424021503412167,1.2559710365073973,1.0574435728474976,1.4917706107926427,3098.7106292977533,False,0.05149506770359724,0.056358442626869565,0.3281302738438946,0.08385153548176455,3.9132291610241783,9.107003363715054e-05,1.3883698287830641,1.1779566257432892,1.6363682153906305,3325.983201145738,False,0.08122612124997773,0.08184902597406474,0.03331588204332948,True,True,0.07978835441119418,True,False,0.001001770370008656,True,True,5.433912245440347,5.967447236430084,0.10867824490880693,0.11934894472860169,5.149506770359724,5.635844262686956,0.10299013540719448,0.11271688525373913,8.122612124997772,8.184902597406474,0.16245224249995546,0.16369805194812947,0.13239879227566687,1.3047749635547368,0.10147251133249736
duallands,Duallands,1077,0.04719062895074904,0.08651802460649816,0.545442746356979,0.5854490476246832,1.0483218305237745,0.884807918054072,1.242053374442742,3108.3498515412666,False,0.01071926914650059,0.01179709257287953,0.048493010983991516,0.08758317980820475,0.5536794974809617,0.579798209097633,1.0496880355082043,0.884113331559602,1.2462711878186319,3105.145341863073,False,0.01094505189534929,0.012014082372970358,0.23060067302179357,0.08371773200459645,2.7545021526518734,0.005878150328037568,1.2593562441026667,1.0687758395067082,1.4839202861213452,3333.7411390831066,False,0.05705720015976583,0.057568364403855765,0.8049924404839394,False,False,0.9052154277782894,False,False,0.032329826804206624,True,True,1.071926914650059,1.179709257287953,0.02143853829300118,0.02359418514575906,1.094505189534929,1.2014082372970358,0.02189010379069858,0.024028164745940717,5.705720015976583,5.756836440385577,0.11411440031953166,0.11513672880771153,0.2110344135788922,1.1191220367115484,0.18857140388281524
1_2_mana_counterspells,1-2 Mana Counterspells,861,-0.1234271310862548,0.09018295040682187,-1.3686304398943039,0.17111482388806287,0.8838860467135702,0.7406806532273829,1.0547791955558272,3106.7708357326565,False,-0.02794769025246121,-0.0308446405231379,0.0288916626521735,0.10434535061762287,0.27688500236151387,0.7818684089319002,1.0293130753857282,0.838932335664227,1.2628973304756164,3105.375145978097,False,0.006517202869403871,0.007154700656131219,0.13824753520243618,0.09970215194933649,1.3866053289670868,0.16556214247491718,1.148259749807651,0.9444347462036085,1.3960736391035709,3339.4244988793275,False,0.034237274756184446,0.0345481224546354,0.4705657656921729,False,False,0.9052154277782894,False,False,0.4156448968503457,False,False,-2.794769025246121,-3.0844640523137903,-0.05589538050492242,-0.0616892810462758,0.6517202869403871,0.7154700656131219,0.013034405738807741,0.014309401312262438,3.4237274756184446,3.4548122454635397,0.06847454951236889,0.0690962449092708,0.2643737030940808,1.0204862906356498,0.2590663936596398
fetchlands,Fetchlands,1270,-0.02091052250396723,0.0862304296099989,-0.24249586368223938,0.8083959615345467,0.9793065865505164,0.8270235031933862,1.1596301516922758,3108.588433423298,False,-0.004745172649285149,-0.0052275826247607515,-0.04152547814910792,0.08797040845571372,-0.472039164965487,0.6368988337587951,0.9593248932074314,0.807390789104955,1.1398498263123198,3105.228871168624,False,-0.009359680550129378,-0.010279545921839661,0.11001746734478202,0.08374291596430106,1.3137525255471352,0.18892949856833896,1.1162975690430943,0.9473197022974956,1.3154168119055876,3339.6213232624777,False,0.0272819681423319,0.027497062815270146,0.8892355576880014,False,False,0.9052154277782894,False,False,0.4156448968503457,False,False,-0.47451726492851487,-0.5227582624760752,-0.009490345298570298,-0.010455165249521503,-0.9359680550129378,-1.0279545921839661,-0.018719361100258756,-0.020559091843679322,2.72819681423319,2.749706281527015,0.0545639362846638,0.05499412563054029,0.15697267583566288,1.0183096829336806,0.1541502339282833
reanimator_spells,Reanimator Spells,440,-0.12080474644178452,0.11089864843435342,-1.089325687438788,0.27601028894620827,0.8862069777668432,0.7130768378718342,1.1013719219748381,3107.4597131794835,False,-0.02739037199229353,-0.03018095681669941,0.02225538623226793,0.12359586141147239,0.18006578843425694,0.8571009204406985,1.022504884798309,0.8025248151632712,1.3027836892790607,3105.4193697489018,False,0.005019401939394619,0.005511811675508793,0.10413704492788928,0.11858469466551479,0.878165982731775,0.3798536495838042,1.1097525304502647,0.8795991764177215,1.4001271395641945,3340.57604736721,False,0.025788019870664633,0.026028088312985143,0.5060188630680486,False,False,0.9052154277782894,False,False,0.6963983575703078,False,False,-2.7390371992293527,-3.018095681669941,-0.05478074398458706,-0.06036191363339882,0.5019401939394619,0.5511811675508793,0.010038803878789238,0.011023623351017586,2.578801987066463,2.602808831298514,0.051576039741329266,0.052056176625970285,0.22354555268342147,1.0061547976718055,0.22217809148323428
shocklands,Shocklands,1039,-0.13809373299479377,0.08748791331110674,-1.578432125861008,0.11446636966273847,0.8710170448832223,0.733762374618525,1.0339460276516985,3106.1498311102214,False,-0.031247023980963077,-0.034509029934320756,-0.1337644250431707,0.08893463444915901,-1.5040757278834873,0.13256186916209772,0.8747961203898849,0.7348592398164913,1.0413807308734342,3103.1845380099753,False,-0.030080929106610702,-0.033065661897463294,0.061831777430280045,0.08422745034695661,0.7341048218315707,0.46288485502230325,1.0637833773019205,0.9018978395559006,1.2547264492629266,3340.80884137081,False,0.015333351342223007,0.01545643480362563,0.41971002209670777,False,False,0.4860601869276917,False,False,0.7273904864636194,False,False,-3.1247023980963076,-3.4509029934320754,-0.062494047961926154,-0.06901805986864151,-3.00809291066107,-3.3065661897463294,-0.060161858213221404,-0.06613132379492659,1.5333351342223007,1.545643480362563,0.030666702684446014,0.03091286960725126,0.19276633241869823,0.9365321808583426,0.20582990777959778
triomes,Triomes,1008,-0.0681154537119178,0.08697369025300838,-0.783173089629386,0.4335254752218215,0.9341526159640416,0.7877426044304894,1.1077744240370897,3108.0335520014005,False,-0.015451264609310893,-0.017027089935614026,-0.015598402555980717,0.09176477517221521,-0.16998246360553004,0.865023927957987,0.9845226224425101,0.8224584108858716,1.1785213468205142,3105.4229042047,False,-0.003518094813987749,-0.0038622376812387227,0.023027074649939208,0.08763312856278924,0.2627667758482488,0.792730344902452,1.0232942445056195,0.8617984457168963,1.21505337592859,3341.278763554263,False,0.005710591283403574,0.005756696966141339,0.6812543182057195,False,False,0.9052154277782894,False,False,0.8267006844368714,False,False,-1.5451264609310893,-1.7027089935614026,-0.030902529218621785,-0.03405417987122805,-0.3518094813987749,-0.38622376812387227,-0.007036189627975498,-0.007724475362477445,0.5710591283403574,0.5756696966141339,0.011421182566807148,0.011513393932282678,0.08914162854157781,0.980656494304057,0.09089995228639056
landscapes,Landscapes,596,-0.04100615155114571,0.09908391521454271,-0.4138527576585626,0.6789819438445157,0.9598232255279756,0.7904043528845521,1.1655561117557358,3108.47595678758,False,-0.00930679733621737,-0.010250906478649013,-0.011931684693111146,0.10020256391429011,-0.11907564264839676,0.9052154277782894,0.9881392155899315,0.811940100040007,1.202575299998822,3105.4376209482375,False,-0.002691223417101095,-0.0029540082801118306,0.02106392662257894,0.09621087061044264,0.21893499652307147,0.8267006844368714,1.0212873370009072,0.8457686841326193,1.233230603457593,3341.2998763392898,False,0.0052235278973271565,0.005265890651775684,0.829866820254408,False,False,0.9052154277782894,False,False,0.8267006844368714,False,False,-0.9306797336217371,-1.0250906478649013,-0.01861359467243474,-0.020501812957298027,-0.2691223417101095,-0.29540082801118306,-0.00538244683420219,-0.005908016560223661,0.5223527897327157,0.5265890651775684,0.010447055794654313,0.010531781303551369,0.061464111472931626,0.9897499260396048,0.06210064770489525
one_mana_mana_elves,One Mana Mana Elves,641,-0.009525819107931266,0.09694334176547949,-0.09826171591005863,0.9217244772977274,0.9905194077852468,0.8191117406476929,1.1977959153941955,3108.637595086597,False,-0.0021624481921549525,-0.00238144731608253,-0.10146916963816857,0.11336550514891884,-0.8950621223349815,0.37075388053726377,0.9035090344232766,0.7234921668385313,1.1283170885617473,3104.6505498876613,False,-0.0228754042624111,-0.025011951220023587,-0.040814988502960066,0.10811601371213216,-0.3775110374641943,0.7057938634438425,0.9600067258001638,0.7766834783514178,1.1866003839012502,3341.2053084071727,False,-0.010122616173117214,-0.010202773700041967,0.9217244772977274,False,False,0.8156585371819803,False,False,0.8267006844368714,False,False,-0.21624481921549527,-0.238144731608253,-0.004324896384309905,-0.00476289463216506,-2.28754042624111,-2.5011951220023585,-0.0457508085248222,-0.050023902440047174,-1.0122616173117214,-1.0202773700041967,-0.02024523234623443,-0.020405547400083934,0.08701037336197026,0.9513450560028957,0.09146037267229506
surveillands,Surveillands,854,-0.10000900094819061,0.08954578512723112,-1.1168476640870681,0.2640594650878574,0.9048292736778925,0.7591782051148654,1.07842402348812,3107.399250687596,False,-0.022692256028279713,-0.024995718166645864,-0.0851676409353329,0.09087540245772402,-0.9371913480653203,0.34866013943825247,0.9183583170489616,0.7685240438600238,1.097404831027787,3104.5732370027827,False,-0.019206275984292854,-0.021061144039018154,-0.04330933025506404,0.08697396181369804,-0.49795742716463215,0.6185140492732011,0.9576151249166621,0.8075273977086748,1.13559828443119,3341.0998506593533,False,-0.010741721651437672,-0.01082677777475205,0.5060188630680486,False,False,0.8156585371819803,False,False,0.8267006844368714,False,False,-2.269225602827971,-2.499571816664586,-0.045384512056559426,-0.04999143633329173,-1.9206275984292853,-2.1061144039018154,-0.03841255196858571,-0.04212228807803631,-1.0741721651437672,-1.082677777475205,-0.021483443302875344,-0.0216535555495041,0.052785851238769665,0.9269342385478386,0.05694670564922218
