"season_id","archetype","games_won","games_played","game_win_rate","archetype_win_rate_lift","archetype_win_rate_lift_pct","archetype_win_rate_lift_rel"
"Season-All","Aggro-Combo",47,84,0.55952380952381,0.0558434730359021,5.58434730359021,1.1108708619147
"Season-All","Aggro",236,436,0.541284403669725,0.0376040671818173,3.76040671818173,1.07465859684741
"Season-All","Combo-Control",86,159,0.540880503144654,0.0372001666567466,3.72001666567466,1.07385669831016
"Season-All","Aggro-Control (Tempo)",50,101,0.495049504950495,-0.0086308315374124,-0.86308315374124,0.982864465987309
"Season-All","Control",222,451,0.492239467849224,-0.0114408686386835,-1.14408686386835,0.977285457045119
"Season-All","Combo",250,519,0.481695568400771,-0.0219847680871367,-2.19847680871367,0.956351744361447
"Season-All","Control-Aggro (Midrange)",67,152,0.440789473684211,-0.0628908628036969,-6.28908628036969,0.875137347544226
