"card_id","card_name","v0_coef","v0_se","v0_z","v0_p","v0_or","v0_or_lower","v0_or_upper","v0_aic","v0_converged","v0_separation","v0_win_rate_lift_prob","v0_win_rate_lift_mean_prob","v1_coef","v1_se","v1_z","v1_p","v1_or","v1_or_lower","v1_or_upper","v1_aic","v1_converged","v1_separation","v1_win_rate_lift_prob","v1_win_rate_lift_mean_prob","n_games","v0_p_adj","v0_significant_raw","v0_significant_fdr","v1_p_adj","v1_significant_raw","v1_significant_fdr","best_aic","aic_improvement","or_range","or_cv","confidence","v1_win_rate_lift_pct","v1_win_rate_lift_mean_pct","v1_win_rate_lift_std","v1_win_rate_lift_mean_std","v0_win_rate_lift_pct","v0_win_rate_lift_std"
"9d3a7998-ccac-45ad-a4e9-3a2cb057f63b","Elite Spellbinder",0.31200639673626,0.184884284540257,1.68757662400626,0.0914925296411125,1.36616343198869,0.950880576614893,1.96281485688503,2300.87799073387,TRUE,FALSE,0.0712742824541349,0.0775120128563882,0.216350021657022,0.193037656173629,1.12076589586451,0.262387524504476,1.2415368677477,0.850437986099813,1.81249405502904,2299.30196349126,TRUE,FALSE,0.0491525965670826,0.053936101641595,140,0.5407783591564,FALSE,FALSE,0.740367346213265,FALSE,FALSE,2299.30196349126,1.5760272426096,0.124626564240988,0.0955835026391539,"medium",4.91525965670826,5.3936101641595,0.0983051931341652,0.10787220328319,7.12742824541349,0.14254856490827
"4e117771-5a8b-4812-b487-32ba34b7f724","Giver of Runes",0.374838152238216,0.180056940960388,2.08177563296868,0.0373629684630647,1.45475594656983,1.02216870133239,2.07041642081359,2299.38199791845,TRUE,FALSE,0.0853035329405053,0.0928767891183435,0.215324766627353,0.195093345392903,1.10370123693202,0.269722758895915,1.240264628126,0.846150372124417,1.81794678399592,2299.34395570776,TRUE,FALSE,0.0488981949363457,0.0536789195820668,150,0.35982163106821,TRUE,FALSE,0.751491711892392,FALSE,FALSE,2299.34395570776,0.0380422106891274,0.214491318443829,0.159176015543434,"medium",4.88981949363457,5.36789195820668,0.0977963898726914,0.107357839164134,8.53035329405053,0.170607065881011
"3277ad99-5682-4baa-b106-de15721876a6","Glorybringer",0.391934086711842,0.250347407389272,1.56556079729004,0.117451473735304,1.47984016705623,0.905972042329605,2.41721247203375,2301.28174952848,TRUE,FALSE,0.0890724431669394,0.0968947978080844,0.215120829751187,0.261005943013589,0.824198971362071,0.409826511423624,1.24001171822183,0.743452190417664,2.06822857091003,2299.88234481399,TRUE,FALSE,0.0488234746742767,0.0536284571548882,74,0.5407783591564,FALSE,FALSE,0.801207308826496,FALSE,FALSE,2299.88234481399,1.39940471448881,0.239828448834402,0.176354050845591,"low",4.88234746742767,5.36284571548882,0.0976469493485533,0.107256914309776,8.90724431669394,0.178144886333879
"b045c28a-39f9-4cd9-8f3a-a626b697f409","Cathartic Pyre",0.229934936420826,0.208873338816568,1.10083430333229,0.270968779091897,1.25851812357202,0.835724047041096,1.89520437154701,2302.53949826161,TRUE,FALSE,0.0525755622121302,0.0572749589499711,0.213478996894828,0.213225065750075,1.00119090663126,0.316734521959092,1.23797749662347,0.815101908890147,1.88024131146116,2299.56145693066,TRUE,FALSE,0.0484212595921424,0.0531615282584905,106,0.667236826665508,FALSE,FALSE,0.779518851265988,FALSE,FALSE,2299.56145693066,2.97804133095269,0.0205406269485553,0.0164555681831694,"medium",4.84212595921425,5.31615282584905,0.0968425191842849,0.106323056516981,5.25755622121302,0.10515112442426
"26c68473-70ca-40ba-b5c6-71ec30f88a2c","Damnation",0.0858431450581127,0.259190794737038,0.331196735382538,0.740495885992043,1.08963540020264,0.655622041305515,1.81096002051813,2303.64263122265,TRUE,FALSE,0.0196950962389032,0.0214490726835255,0.212609650234949,0.264881806239204,0.802658564034972,0.422172108754199,1.23690173269541,0.735975322524614,2.07877336307529,2299.91886289157,TRUE,FALSE,0.0482413471408406,0.0529575884947804,66,0.927749300536917,FALSE,FALSE,0.801207308826496,FALSE,FALSE,2299.91886289157,3.72376833108183,0.14726633249277,0.126597018728283,"low",4.82413471408406,5.29575884947804,0.0964826942816811,0.105915176989561,1.96950962389032,0.0393901924778063
"d7a8cc1d-aabb-4eb6-b0f1-6c93ec246f61","Court of Garenbrig",0.295517990756949,0.233514445600867,1.2655233812047,0.205683772301837,1.34382226594669,0.850296367500344,2.12379865594731,2302.15342924131,TRUE,FALSE,0.0673692056349092,0.0734207746120426,0.210121127537297,0.251516797075677,0.835415884665847,0.403483589163417,1.23382750139252,0.753631471738416,2.01999300756497,2299.86834339273,TRUE,FALSE,0.0476499752645924,0.05237852607822,85,0.615661561687256,FALSE,FALSE,0.801207308826496,FALSE,FALSE,2299.86834339273,2.285085848584,0.109994764554177,0.0853450037688555,"low",4.76499752645924,5.237852607822,0.0952999505291847,0.10475705215644,6.73692056349092,0.134738411269818
"8870ef0b-cb1f-463b-8509-fece4743d3d4","Ramunap Excavator",0.221352430002032,0.214019188800672,1.03426440985247,0.301012570183898,1.24776310223543,0.820267165628171,1.89805568787807,2302.68232263398,TRUE,FALSE,0.0506184687659145,0.0551506528973671,0.208090593001783,0.222882795975672,0.93363236983305,0.350493561864842,1.23132471389822,0.79551968417012,1.9058743375259,2299.69288852745,TRUE,FALSE,0.0471999205256091,0.0518502951322316,104,0.687856772650761,FALSE,FALSE,0.791211186843609,FALSE,FALSE,2299.69288852745,2.98943410652464,0.0164383883372021,0.0132616426334096,"medium",4.71999205256091,5.18502951322316,0.0943998410512183,0.103700590264463,5.06184687659145,0.101236937531829
"a9738cda-adb1-47fb-9f4c-ecd930228c4d","Ragavan, Nimble Pilferer",0.366406844910117,0.192487206192588,1.90353869307822,0.0569702898060588,1.44254201416001,0.989190764978268,2.10366648809398,2300.09678069589,TRUE,FALSE,0.0834251211278449,0.0907940785130851,0.207923564641532,0.20567775322399,1.01091907793788,0.312055162156729,1.23111906492541,0.822666132712967,1.84236847945172,2299.53788290165,TRUE,FALSE,0.0472256037001928,0.0518183760927857,128,0.444179681604469,FALSE,FALSE,0.777285791732595,FALSE,FALSE,2299.53788290165,0.558897794237964,0.211422949234605,0.158152393277107,"medium",4.72256037001928,5.18183760927857,0.0944512074003857,0.103636752185571,8.34251211278449,0.16685024225569
"0e0d989d-7186-40dc-bdfe-cfbb77656bc8","Emrakul, the Aeons Torn",0.0666715433004923,0.271939535859489,0.245170468096046,0.806324441720953,1.06894431858456,0.627300274064503,1.82152312612685,2303.69228550061,TRUE,FALSE,0.0152996110546114,0.0166623351522713,0.203120072792111,0.284255795300753,0.714567921393487,0.474876072507416,1.22521957495088,0.701860027405695,2.1388353065092,2300.052303549,TRUE,FALSE,0.0461071151139862,0.0505737224603914,61,0.938376674145863,FALSE,FALSE,0.845890661144346,FALSE,FALSE,2300.052303549,3.63998195160548,0.156275256366322,0.136237220720524,"low",4.61071151139862,5.05737224603914,0.0922142302279724,0.101147444920783,1.52996110546114,0.0305992221092229
"5de097e5-e960-4404-a370-defe93ce892f","Oracle of Mul Daya",0.339170267467212,0.258886170290605,1.31011350311407,0.190157441076858,1.40378234332946,0.845145373901225,2.33167562445164,2302.02301794605,TRUE,FALSE,0.077288121850626,0.0840783956864742,0.202429230867312,0.275874071752912,0.733774035309192,0.463086467680452,1.22437343420982,0.712992805010308,2.10253216563255,2300.02333081184,TRUE,FALSE,0.0459583442815564,0.0504559234570627,68,0.589089135643692,FALSE,FALSE,0.845890661144346,FALSE,FALSE,2300.02333081184,1.99968713420822,0.179408909119642,0.136528367650734,"low",4.59583442815564,5.04559234570627,0.0919166885631129,0.100911846914125,7.7288121850626,0.154576243701252
