player,scryfallId,season_id,num_drafts_with_card,matches_played,matches_won,match_win_rate,games_played,games_won,game_win_rate
Guy,23b95b26-0bbf-4fa1-80c1-f621f1a1b947,Season-4,2,8,4,0.5,19,9,0.47368421052631576
Guy,a7a8b6b8-b95f-4014-b17a-a6d44d965995,Season-4,1,4,1,0.25,10,3,0.3
Guy,fa7b7897-36e0-415a-8bb7-602886164852,Season-4,1,4,1,0.25,10,3,0.3
Guy,5ab21006-7f61-49e0-8b6a-0397c5d4c3bd,Season-4,2,8,4,0.5,19,9,0.47368421052631576
Guy,71384418-173a-4f77-adab-56e52fa23692,Season-4,1,4,1,0.25,10,3,0.3
Guy,90107d10-e2aa-4cb7-a000-039f0c581b47,Season-4,1,4,1,0.25,10,3,0.3
Guy,62b3f560-262b-4bc3-9aef-535fd7082c28,Season-4,1,4,1,0.25,10,3,0.3
Guy,310a1c46-8331-4a09-9fcb-d942f8102364,Season-4,3,12,6,0.5,29,14,0.4827586206896552
Guy,564caf57-4ba5-4993-a35e-945699c94eb7,Season-4,1,4,1,0.25,10,3,0.3
Guy,a2c56479-4bee-4edb-80d7-4af010b7c793,Season-4,1,4,1,0.25,10,3,0.3
Guy,2b74bb81-fb9a-40e5-a941-e517430b52f5,Season-4,1,4,1,0.25,10,3,0.3
Guy,229a0d4a-3777-451d-a2fb-f1a2fdf8019f,Season-4,2,8,3,0.375,18,7,0.3888888888888889
Guy,1be9d9a4-d7ee-4854-abc2-85cabf993ec9,Season-4,1,4,1,0.25,10,3,0.3
Guy,b50e1800-a45c-43bd-8886-8a06145d9346,Season-4,1,4,1,0.25,10,3,0.3
Guy,43aa7e35-55ee-4e02-a8aa-ea2b267055d1,Season-4,1,4,1,0.25,10,3,0.3
Guy,064dfdeb-485f-473e-9fa0-8fdb7638cdc6,Season-4,2,8,3,0.375,21,9,0.42857142857142855
Guy,cea3b218-0e6e-443a-84f7-380f1021e8e1,Season-4,1,4,1,0.25,10,3,0.3
Guy,1ee98955-4c47-4d45-9377-608dfa755337,Season-4,1,4,1,0.25,10,3,0.3
Guy,5427d8a6-ac9e-4e50-bd39-81713b2ade25,Season-4,2,8,3,0.375,21,9,0.42857142857142855
Guy,2424f2c4-366b-42cf-bf4b-a8a5bfdd2c4b,Season-4,1,4,1,0.25,10,3,0.3
Guy,4a1f905f-1d55-4d02-9d24-e58070793d3f,Season-4,1,4,1,0.25,10,3,0.3
Guy,75fdce80-e338-4a50-bdc6-786511feaeef,Season-4,3,12,6,0.5,28,13,0.4642857142857143
Guy,87d5e94b-0b35-4efd-9158-1767dcaea38c,Season-4,1,4,1,0.25,10,3,0.3
Guy,76ae81ea-13e3-4ab8-b956-4c7b139a5e9c,Season-4,1,4,1,0.25,10,3,0.3
Guy,175b3d28-5c74-4972-9b5c-5e39762c78f4,Season-4,1,4,1,0.25,10,3,0.3
Guy,4720b4f2-e6af-4223-9250-a0ed21ed5693,Season-4,1,4,1,0.25,10,3,0.3
Guy,4216656e-90e8-45fc-a0f6-0d0d79d0a021,Season-4,3,12,5,0.4166666666666667,29,13,0.4482758620689655
Guy,d5c782cc-c951-4c6f-a93f-774ae6c1c214,Season-4,1,4,1,0.25,10,3,0.3
Guy,e5145f31-a4ac-44ef-8f85-e4d95f2c9ff5,Season-4,2,8,3,0.375,20,8,0.4
Sili,2398892d-28e9-4009-81ec-0d544af79d2b,Season-4,1,4,2,0.5,10,5,0.5
Sili,a3012af9-621d-4fae-b00d-079a89ae35fe,Season-4,1,4,2,0.5,10,5,0.5
Sili,5f1cdcba-a04a-4a2f-8bc1-0dd7fa03754d,Season-4,1,4,2,0.5,10,5,0.5
Sili,3faa8c5e-9e1b-4cee-b322-a033bf33dcbc,Season-4,1,4,2,0.5,10,5,0.5
Sili,2b5315a4-6a78-456f-8d5a-fea9d62f3f0e,Season-4,4,16,8,0.5,36,19,0.5277777777777778
Sili,a6539e26-b63b-4725-9407-caaf451de084,Season-4,2,8,5,0.625,19,11,0.5789473684210527
Sili,311a6257-dd77-4bb6-81cb-c8e7862350f3,Season-4,1,4,2,0.5,10,5,0.5
Sili,54f449ff-4025-465e-9ec5-a5cf42c4c9d3,Season-4,2,8,3,0.375,19,8,0.42105263157894735
Sili,3c02b8ee-84cb-44cb-ba14-9e725a9d03ee,Season-4,1,4,2,0.5,10,5,0.5
Sili,5c70da33-ce5d-4b8b-9c1d-9a356a7e196f,Season-4,2,8,5,0.625,19,11,0.5789473684210527
Sili,18a3cca1-e50e-49b6-9e1a-f86640e3b177,Season-4,1,4,2,0.5,10,5,0.5
Sili,073bfdca-d7b8-4f4b-93f3-6e7c44bc0b0a,Season-4,2,8,3,0.375,19,8,0.42105263157894735
Sili,02d6d693-f1f3-4317-bcc0-c21fa8490d38,Season-4,1,4,2,0.5,10,5,0.5
Sili,62d37423-3445-412a-9abd-0480da404637,Season-4,1,4,2,0.5,10,5,0.5
Sili,247939d9-87e9-4f01-b223-fb4cfa7dbbe1,Season-4,2,8,4,0.5,19,10,0.5263157894736842
Sili,56995b84-2307-4955-9c7c-dc4f04acdc07,Season-4,1,4,2,0.5,10,5,0.5
Sili,95c14c4d-6c16-4826-8d93-d89ad04aee09,Season-4,2,8,5,0.625,19,11,0.5789473684210527
Sili,05bdd22c-3e11-4c29-bdfa-d3dfc0e90a9f,Season-4,1,4,2,0.5,10,5,0.5
Sili,493a5ca7-5f90-4af4-b6db-43ae09a2f2c9,Season-4,1,4,2,0.5,10,5,0.5
Sili,4c732dc7-dd6b-4cc1-bbe0-ff3b1d2c7419,Season-4,2,8,5,0.625,19,11,0.5789473684210527
Sili,e6befbc4-1320-4f26-bd9f-b1814fedda10,Season-4,1,4,2,0.5,10,5,0.5
Sili,04fc99dc-bfbe-4567-b791-6b1db96471ec,Season-4,2,8,5,0.625,19,11,0.5789473684210527
Sili,fa6ac7d2-0127-49a8-b7d2-a38308d3c27b,Season-4,1,4,2,0.5,10,5,0.5
Sili,492b368b-de32-45c1-8459-238aae54f9fc,Season-4,2,8,5,0.625,19,11,0.5789473684210527
Tinu,1785cb18-c291-4fd5-b8c7-ace893c32e49,Season-4,1,4,2,0.5,10,6,0.6
Tinu,5ad36fb2-c44e-4085-ba0d-54277841ad3a,Season-4,1,4,2,0.5,10,6,0.6
Tinu,551c0a45-9515-4e51-84e5-79703832a661,Season-4,1,4,2,0.5,10,6,0.6
Tinu,045ce37b-86d2-4e56-84af-b6625b53d13c,Season-4,2,8,4,0.5,19,11,0.5789473684210527
Tinu,70e33f45-7d47-423b-a123-8541f1d1afb4,Season-4,1,4,2,0.5,10,6,0.6
Tinu,612b2e6e-fe8d-49ad-b845-6fa7fa59ffd1,Season-4,1,4,2,0.5,10,6,0.6
Tinu,eca8d6f8-c6f1-437c-99e2-4281eae14a6f,Season-4,1,4,2,0.5,10,6,0.6
Tinu,d6ec3293-b09e-4931-ac4e-dc5eac0ca004,Season-4,1,4,2,0.5,10,6,0.6
Tinu,dcb94950-3f3e-4876-84f8-d5e4d9cfecee,Season-4,1,4,2,0.5,10,6,0.6
Tinu,47c8e6c4-450b-4f8b-b897-5808fe935a90,Season-4,1,4,2,0.5,10,6,0.6
Tinu,3d3025a2-4a17-4137-ba0b-bd676c6f5f88,Season-4,1,4,2,0.5,10,6,0.6
Tinu,522aa72b-2b8c-484c-872b-f082101cee35,Season-4,1,4,2,0.5,10,6,0.6
Tinu,cb94a02f-4660-45b6-8a39-941b710cf8f3,Season-4,1,4,2,0.5,10,6,0.6
Tinu,a8069994-b103-40dc-9e14-062004914ec8,Season-4,1,4,2,0.5,10,6,0.6
Tinu,107492bd-b32f-4692-917c-7771986b5bf7,Season-4,1,4,2,0.5,10,6,0.6
Tinu,2be39749-ad6f-4160-99eb-c677eee7f1b2,Season-4,2,8,4,0.5,21,12,0.5714285714285714
Tinu,b6cb2549-e485-44d6-9d65-7605c568909e,Season-4,1,4,2,0.5,10,6,0.6
Tinu,00cb17a0-5a13-4d02-b7fb-f99531bc8ca5,Season-4,1,4,2,0.5,10,6,0.6
Tinu,9a9a1df5-a4e8-49a4-aebe-ca93894ccfcf,Season-4,1,4,2,0.5,10,6,0.6
Tinu,df9d9075-2d1e-4848-b661-816d539e05eb,Season-4,1,4,2,0.5,10,6,0.6
Tinu,05cf51d8-9f91-42ff-99e9-4397f2251c20,Season-4,1,4,2,0.5,10,6,0.6
Tinu,69c68c95-b788-43b1-9f22-1b22c5a00b25,Season-4,1,4,2,0.5,10,6,0.6
Tinu,06c0c35d-a26e-473a-9206-8fbda7191700,Season-4,1,4,2,0.5,10,6,0.6
Tinu,f44e5128-e146-4e46-b313-a40d82719d1d,Season-4,1,4,2,0.5,10,6,0.6
Tinu,09521f23-52d6-482d-9f3b-c4d12fcc08cc,Season-4,1,4,2,0.5,10,6,0.6
Lukas Stalder,17f28b16-da65-41a8-ba4f-f1c5e104aad6,Season-4,4,16,7,0.4375,39,19,0.48717948717948717
Lukas Stalder,345a4aee-5846-4ae9-9af1-4c8fe8d692ec,Season-4,2,8,5,0.625,21,13,0.6190476190476191
Lukas Stalder,b045c28a-39f9-4cd9-8f3a-a626b697f409,Season-4,3,12,8,0.6666666666666666,31,19,0.6129032258064516
Lukas Stalder,9d3a7998-ccac-45ad-a4e9-3a2cb057f63b,Season-4,2,8,5,0.625,19,12,0.631578947368421
Lukas Stalder,55707746-da6e-46e5-a5ca-7ac843fdc38e,Season-4,3,12,7,0.5833333333333334,30,18,0.6
Lukas Stalder,f231caf8-56c0-4719-a90d-5e5efbee3148,Season-4,1,4,3,0.75,10,7,0.7
Lukas Stalder,24e58478-c6a8-4f86-854a-a489c99bd777,Season-4,3,12,7,0.5833333333333334,26,16,0.6153846153846154
Lukas Stalder,18092f68-b96e-4084-9eba-b240d2195d81,Season-4,2,8,4,0.5,19,10,0.5263157894736842
Lukas Stalder,80c72839-0fa6-4b5f-83b7-6553ebf09bef,Season-4,1,4,3,0.75,10,7,0.7
Lukas Stalder,1066a94a-8e4f-4d77-820b-7a77a18116f0,Season-4,3,12,5,0.4166666666666667,28,13,0.4642857142857143
Lukas Stalder,fe964e7e-e2c5-4263-889d-0a531eb51442,Season-4,2,8,5,0.625,17,11,0.6470588235294118
Lukas Stalder,8e42df9e-95f2-4c79-9274-2d16e3cd91f1,Season-4,3,12,6,0.5,28,15,0.5357142857142857
Lukas Stalder,0cb33b46-4d1b-4f97-bfdc-d815aee111da,Season-4,3,12,7,0.5833333333333334,29,18,0.6206896551724138
Lukas Stalder,b83cfbaa-7890-4f6f-878b-4edb45677371,Season-4,2,8,5,0.625,19,12,0.631578947368421
Lukas Stalder,1bd3fa8a-6c50-4f7f-9ae3-0810eec5e3db,Season-4,1,4,3,0.75,10,7,0.7
Lukas Stalder,df3784d4-80cd-4f78-afb3-d61f3bab5b2c,Season-4,1,4,3,0.75,10,7,0.7
Lukas Stalder,0d16e8e0-31b2-4389-afd6-783c501f6fa0,Season-4,2,8,5,0.625,21,13,0.6190476190476191
Lukas Stalder,0a26d900-c652-4f9c-8681-a35c5f8b1937,Season-4,1,4,3,0.75,10,7,0.7
Lukas Stalder,a3bb2881-e8fb-4fba-a9f9-d93e6ca24378,Season-4,2,8,7,0.875,21,15,0.7142857142857143
Lukas Stalder,0ad38866-fc5f-4f62-89c1-afc0f50765aa,Season-4,3,12,7,0.5833333333333334,28,17,0.6071428571428571
Lukas Stalder,fa7a55aa-ae61-4933-b7a4-dcc55dac6fcd,Season-4,2,8,5,0.625,19,12,0.631578947368421
Lukas Stalder,78cef262-c753-4658-b3ec-fec8db47f944,Season-4,3,12,7,0.5833333333333334,30,18,0.6
Lukas Stalder,005dae9a-dddc-4a11-95bb-cce319edcce4,Season-4,3,12,7,0.5833333333333334,26,16,0.6153846153846154
Lukas Stalder,3d8ca18d-9099-4f1e-95c1-f04da58a26bd,Season-4,1,4,3,0.75,10,7,0.7
Manuel,96b6b2e1-c3e6-464c-8a13-b15deb34e862,Season-4,2,8,1,0.125,20,6,0.3
Manuel,641b21e1-9188-4bc3-96e8-cda2acbc5ed5,Season-4,2,8,1,0.125,20,6,0.3
Manuel,c8090bcf-e17a-4110-a518-77ccd045b18f,Season-4,2,8,3,0.375,20,10,0.5
Manuel,0e51d796-7279-4c06-87f0-37adbdaa41df,Season-4,3,12,3,0.25,30,12,0.4
Manuel,a1febcf1-afa4-4406-9ac1-5bf98b2765d2,Season-4,2,8,2,0.25,20,7,0.35
Manuel,94c6fdd8-21e7-48ae-aa05-a3666b928c1a,Season-4,2,8,3,0.375,20,9,0.45
Manuel,187b6719-e5ed-4615-a00b-3313ceca055b,Season-4,2,8,1,0.125,20,6,0.3
Manuel,758f95f8-bcb0-43ae-b474-56ebd855951e,Season-4,3,12,3,0.25,30,12,0.4
Manuel,18f23daa-bc59-456a-8a28-3823e51bc74b,Season-4,2,8,3,0.375,20,9,0.45
Manuel,1716b4dd-9045-462b-b053-72de450a8cde,Season-4,1,4,1,0.25,10,4,0.4
Manuel,1571b584-9007-45ee-a3c3-6c72f227fee2,Season-4,2,8,3,0.375,20,9,0.45
Manuel,0359f212-9564-41a9-870b-d2c57455a695,Season-4,2,8,2,0.25,20,7,0.35
Manuel,6a058e68-70af-4a64-859c-c881e5578368,Season-4,2,8,4,0.5,21,11,0.5238095238095238
Manuel,fadb218d-29e2-42d1-a7a1-1066741d63ad,Season-4,2,8,1,0.125,20,6,0.3
Manuel,37dbe1a3-3c44-452b-9fb9-37f5d793d0b5,Season-4,2,8,3,0.375,20,10,0.5
Manuel,33ca68a6-474e-4d86-bffa-ee4bddb4a3cf,Season-4,1,4,1,0.25,10,4,0.4
Manuel,5a10b543-d5d4-42a8-9ee8-dada59a2ad7e,Season-4,2,8,1,0.125,20,6,0.3
Manuel,68841ca8-a043-4f30-9a17-e983ed960bc2,Season-4,1,4,1,0.25,10,4,0.4
Manuel,1453f92e-df2d-4789-aa1b-a5b5c51567d4,Season-4,2,8,1,0.125,20,6,0.3
Manuel,068bb15a-fc2d-42a2-859b-837b946d23c0,Season-4,1,4,1,0.25,10,4,0.4
Manuel,ed0216a0-c5c9-4a99-b869-53e4d0256326,Season-4,3,12,6,0.5,31,16,0.5161290322580645
Manuel,3a2d7cf9-dddb-4de3-b4f2-c52e3ec8fb4b,Season-4,3,12,3,0.25,30,12,0.4
Manuel,f823be95-bef4-4e86-a924-239be62394bf,Season-4,1,4,1,0.25,10,4,0.4
Manuel,671c008a-8ff8-42d7-9e03-6d8a9ddace67,Season-4,1,4,1,0.25,10,4,0.4
Manuel,995486ce-58bb-4753-a812-0ca73ef1a235,Season-4,3,12,2,0.16666666666666666,30,9,0.3
Manuel,4a08ca06-58db-4ce6-b490-be4bea8956a1,Season-4,1,4,1,0.25,10,4,0.4
Manuel,504a69eb-3c2d-4bb1-b117-252b15acf0c2,Season-4,2,8,1,0.125,20,6,0.3
Noe T.,ea7e7daf-7c06-4c74-8bcf-e42c1f611861,Season-4,1,4,0,0.0,9,1,0.1111111111111111
Noe T.,b34bf7fd-9fe3-43e2-8cfe-7ce7cff08afe,Season-4,2,8,2,0.25,20,6,0.3
Noe T.,0055ea30-20fb-4324-a632-8fed87628f05,Season-4,2,8,1,0.125,17,3,0.17647058823529413
Noe T.,52eef0d6-24b7-40b7-8403-e8e863d0cd55,Season-4,2,8,2,0.25,20,6,0.3
Noe T.,e58e681e-a069-4414-aafe-634c7987fd0d,Season-4,1,4,0,0.0,9,1,0.1111111111111111
Noe T.,f3537373-ef54-4578-9d05-6216420ee349,Season-4,1,4,0,0.0,9,1,0.1111111111111111
Noe T.,0aa3a844-97e6-4f5d-a36f-56fea4e06932,Season-4,1,4,0,0.0,9,1,0.1111111111111111
Noe T.,15c34f32-49d9-4a0d-83b2-28172f54fdd1,Season-4,2,8,2,0.25,20,6,0.3
Noe T.,00f9955f-a522-47bf-b064-92dd21a76b18,Season-4,1,4,0,0.0,9,1,0.1111111111111111
Noe T.,93f99e67-901f-4c8d-8a09-e443b7eb928f,Season-4,2,8,1,0.125,19,5,0.2631578947368421
Noe T.,1163fe84-c5d5-42c8-b7cd-d206a9b0bd3f,Season-4,2,8,2,0.25,20,6,0.3
Noe T.,205df311-a72d-40f1-b2ea-9b30274bc9bd,Season-4,1,4,0,0.0,9,1,0.1111111111111111
Noe T.,7aa37f85-5336-4372-97a2-9c8b00798c7a,Season-4,3,12,4,0.3333333333333333,31,11,0.3548387096774194
Noe T.,d7a8cc1d-aabb-4eb6-b0f1-6c93ec246f61,Season-4,2,8,3,0.375,20,8,0.4
Noe T.,2b9b0195-beda-403e-bc27-7ae3be9f318c,Season-4,2,8,2,0.25,20,6,0.3
Noe T.,45026d57-0324-4312-8b86-2e7d4f581ee9,Season-4,1,4,0,0.0,9,1,0.1111111111111111
Noe T.,3462a3d0-5552-49fa-9eb7-100960c55891,Season-4,1,4,0,0.0,9,1,0.1111111111111111
Noe T.,b689a206-aec3-4a31-95cf-3d4b840db04c,Season-4,3,12,2,0.16666666666666666,27,7,0.25925925925925924
Noe T.,54a3ea87-005e-4985-b2a5-21711d0b71c0,Season-4,1,4,0,0.0,9,1,0.1111111111111111
Noe T.,41e108a5-4e2f-42cf-9ea1-87bf3c0a2b7f,Season-4,2,8,3,0.375,20,8,0.4
Noe T.,29148d7e-b398-4e19-a29e-d9a660ad5016,Season-4,2,8,2,0.25,20,6,0.3
Noe T.,cc520518-2063-4b57-a0d4-10cf62a7175e,Season-4,2,8,2,0.25,19,6,0.3157894736842105
Noe T.,74d29b3d-f588-431d-bf4e-f7215683ab39,Season-4,2,8,2,0.25,20,6,0.3
Noe T.,01e7b0bc-1c6c-48f4-8b72-1a809f536c6c,Season-4,1,4,0,0.0,9,1,0.1111111111111111
